name,category,count_reviews,score,release_date,developer,popular_tags,price_without_black_friday,price_black_friday,game_area_platform
The Stanley Parable: Ultra Deluxe,Adventure Games,"16,624",Very Positive,"27 Apr, 2022",Crows Crows Crows,"Multiple Endings,Comedy,Choices Matter,Walking Simulator,First-Person,Singleplayer,Narration,Funny,3D,Exploration,Adventure,Psychological Horror,Story Rich,Casual,Emotional,Mystery,Atmospheric,Horror,Game Development,Dark Humor",465 pуб.,,mac win linux
Drive//Shaft,Sports Games,56,Mixed,"30 Nov, 2017",Spotted Zebra Software LLC,"Action,Indie,Racing,Sports,Multiplayer",30 pуб.,,win 
Counter-Strike,Action Games,"129,345",Overwhelmingly Positive,"1 Nov, 2000",Valve,"Action,FPS,Multiplayer,Shooter,Classic,Team-Based,First-Person,Competitive,Tactical,eSports,1990's,PvP,Old School,Military,Strategy,Survival,Score Attack,1980s,Assassin,Nostalgia",259 pуб.,"2240,10 pуб.",mac win linux
StarDrive,Strategy Games,"1,212",Mixed,"26 Apr, 2013",Zero Sum Games,"Strategy,4X,Space,Indie,Sci-fi,RTS,Singleplayer,Real-Time,Exploration",499 pуб.,,win 
Drive Isle,Racing Games,80,Mixed,"15 Aug, 2017",Roadfactory,"Racing,Simulation,Early Access,Open World",82 pуб.,,win 
World War 3,Action Games,"47,113",Mixed,"19 Oct, 2018",The Farm 51,"FPS,Multiplayer,Shooter,Military,Tactical,War,Modern,PvP,Action,Team-Based,Combat,Realistic,First-Person,Character Customization,Gun Customization,Early Access,Atmospheric,Physics,3D,Vehicular Combat",779 pуб.,,win 
Foxhole,Action Games,"24,556",Very Positive,"28 Sep, 2022",Siege Camp,"Massively Multiplayer,Wargame,Military,World War II,Base Building,Open World,Sandbox,War,Top-Down,PvP,Tactical,Team-Based,Multiplayer,Top-Down Shooter,Strategy,Crafting,Co-op,Shooter,Action,RPG",515 pуб.,,win 
Call to Arms - Gates of Hell: Scorched Earth,"Strategy Games,Call to Arms - Gates of Hell: Ostfront,Downloadable Content",178,Mostly Positive,"18 Nov, 2022",Barbedwire Studios,"Strategy,Action,Simulation,RTS,PvE,Level Editor,PvP,Real Time Tactics,Online Co-Op,Multiplayer,Historical,World War II,Military,Realistic,Singleplayer",259 pуб.,"1899,20 pуб.",win 
Europa Universalis IV,"Strategy Games,Europa Universalis - Official Franchise","76,700",Very Positive,"13 Aug, 2013",Paradox Development Studio,"Grand Strategy,Historical,Simulation,Alternate History,Economy,Military,Strategy,Sandbox,Political,Diplomacy,Real-Time with Pause,Moddable,Replay Value,Nonlinear,Management,Singleplayer,Multiplayer,Resource Management,Education,Great Soundtrack",699 pуб.,"1742,40 pуб.",mac win linux
Counter-Strike: Source,Action Games,"96,869",Overwhelmingly Positive,"1 Nov, 2004",Valve,"Shooter,Action,FPS,Multiplayer,Team-Based,First-Person,Tactical,Competitive,PvP,eSports,Military,War,Strategy,Moddable,Singleplayer,Difficult,Atmospheric,Survival,Simulation,Sandbox",385 pуб.,"2240,10 pуб.",mac win linux
War Robots,Action Games,"15,031",Mixed,"5 Apr, 2018",Pixonic,"Free to Play,Action,Robots,Multiplayer,Shooter,Mechs,FPS,PvP,Massively Multiplayer,Controller,First-Person,War,Third Person,Third-Person Shooter,Co-op,Strategy,Singleplayer,RPG,MMORPG,Open World",Free To Play,,win 
Insurgency: Sandstorm,Action Games,"79,393",Very Positive,"12 Dec, 2018",New World Interactive,"FPS,Realistic,Shooter,Military,Multiplayer,Tactical,Action,First-Person,Online Co-Op,War,Co-op,Violent,Gore,Atmospheric,Difficult,Simulation,Open World,Massively Multiplayer,Indie,Choices Matter",1099 pуб.,"2179,98 pуб.",win 
Killing Floor 2,"Action Games,Tripwire Interactive LLC Franchise","73,025",Very Positive,"18 Nov, 2016",Tripwire Interactive,"Zombies,Co-op,Gore,FPS,Multiplayer,Survival,Action,Online Co-Op,Horror,Shooter,First-Person,Team-Based,Survival Horror,Great Soundtrack,Atmospheric,Difficult,Singleplayer,Early Access,Indie,Blood",1392 pуб.,224 pуб.,win 
Bloons TD 5 - Military Bomb Tower Skin,"Action Games,Bloons TD 5,Downloadable Content",10,Mostly Positive,"29 Aug, 2017",Ninja Kiwi,"Strategy,Action",61 pуб.,,mac win 
